serie,ambito,periodo,valor,unidad,fuente_doc,url,nota
indice,RM deptos,2020q4,205.1,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2021q1,211.8,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2021q2,221.3,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,peak de la ventana 2020-2025
indice,RM deptos,2021q3,219.8,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2021q4,216.4,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2022q1,213.8,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2022q2,207.9,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2022q3,207.1,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2022q4,205.2,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2023q1,201.9,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2023q2,200.8,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2023q3,203.0,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2023q4,206.3,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2024q1,204.7,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2024q2,199.9,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2024q3,189.4,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2024q4,190.2,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2025q1,190.7,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,RM deptos,2025q2,187.8,indice 2007q1=100,informe 2T2025 tabla 1,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,-6.0% interanual; quinta caida interanual consecutiva
indice,Centro-Norte deptos,2020q2,204.2,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,zona que incluye comuna Santiago
indice,Centro-Norte deptos,2021q2,211.2,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,peak de la ventana
indice,Centro-Norte deptos,2022q2,198.4,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,Centro-Norte deptos,2023q2,187.6,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,Centro-Norte deptos,2024q2,182.8,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,
indice,Centro-Norte deptos,2025q2,172.7,indice 2007q1=100,informe 2T2025 tabla 3,https://assets.clapesuc.cl/Real_Data_Indices_Report_2025q2_101183bcaf.pdf,13 caidas interanuales consecutivas en deptos Centro-Norte
